address,area,bathrooms,bedrooms,condo,parking_spots,price,suites,type
"Rua Cambuí, 2840 - Neópolis, Natal - RN",200.0,2.0,4.0,,4.0,250000.0,1.0,house
"Rua Professor Bilac de Farias, 1817 - Capim Macio, Natal - RN",200.0,2.0,3.0,,2.0,440000.0,1.0,house
"Avenida Governador Sílvio Pedroza, 200 - Areia Preta, Natal - RN",89.0,2.0,2.0,900.0,1.0,305000.0,1.0,other
"Rua dos Potiguares, 365 - Lagoa Nova, Natal - RN",123.0,5.0,3.0,600.0,2.0,600000.0,3.0,apartment
"Rua Américo Soares Wanderley, 1856 - Capim Macio, Natal - RN",105.0,4.0,3.0,520.0,2.0,560000.0,2.0,apartment
"Avenida Governador Sílvio Pedroza, xxx - Areia Preta, Natal - RN",100.0,2.0,3.0,600.0,1.0,280000.0,1.0,apartment
"Avenida Deputado Antônio Florêncio de Queiroz, 3980 - Ponta Negra, Natal - RN",,2.0,3.0,,2.0,,,other
"Rua Engenheiro João Hélio Alves Rocha, 3200 - Planalto, Natal - RN",58.0,1.0,2.0,222.0,1.0,155000.0,,apartment
"Rua Walter Duarte Pereira, 1977 - Capim Macio, Natal - RN",93.0,4.0,3.0,580.0,2.0,460000.0,1.0,apartment
"Rua Francisco Gurgel, 9063 - Ponta Negra, Natal - RN",40.0,1.0,1.0,,1.0,380000.0,1.0,other
"Rua Antônio Farache, 1846 - Capim Macio, Natal - RN",158.0,5.0,4.0,1000.0,2.0,790000.0,3.0,apartment
"Rua General Oliveira Galvão, 1120 - Tirol, Natal - RN",200.0,6.0,5.0,,,635000.0,4.0,apartment
"Avenida Governador Sílvio Pedroza, 246 - Areia Preta, Natal - RN",282.0,5.0,4.0,1800.0,4.0,2300000.0,4.0,apartment
"s/n - Centro, São José de Mipibu - RN",58.0,1.0,2.0,,2.0,82900.0,,other
"Rua Ijuí, 58 - Cidade da Esperança, Natal - RN",60.0,1.0,2.0,,1.0,110000.0,,house
"Rua Desportista Jeremias Pinheiro da Câmara Filho, 500 - Ponta Negra, Natal - RN",54.0,1.0,2.0,325.0,1.0,165780.0,,apartment
"Rua Doutor Rômulo Jorge, 160 - Lagoa Nova, Natal - RN",130.0,5.0,3.0,800.0,2.0,695000.0,3.0,apartment
"Avenida Campos Sales, 767 - Tirol, Natal - RN",198.0,4.0,4.0,1200.0,2.0,700000.0,4.0,apartment
"Avenida Governador Sílvio Pedroza, 306 - Areia Preta, Natal - RN",260.0,6.0,4.0,1550.0,4.0,1300000.0,4.0,apartment
"Rua Industrial João Motta - Capim Macio, Natal - RN",112.0,2.0,3.0,500.0,2.0,200000.0,1.0,apartment
"Rua Golfo de Oman - Ponta De Campina, Cabedelo - PB",45.0,1.0,2.0,,1.0,,,other
"Avenida Amintas Barros, 1480 - Lagoa Nova, Natal - RN",55.0,1.0,2.0,365.0,1.0,180000.0,1.0,apartment
"Rua da Campína, 140 - Ponta Negra, Natal - RN",57.0,2.0,2.0,,1.0,195000.0,1.0,apartment
"Rua Sérgio Severo, 1117 - Lagoa Nova, Natal - RN",227.0,4.0,3.0,,4.0,500000.0,3.0,house
"Rua Vereador João Alves da Silva Filho, 751 - Tirol, Natal - RN",90.0,2.0,3.0,450.0,2.0,440000.0,1.0,apartment
"Rua Américo Soares Wanderley, 1856 - Capim Macio, Natal - RN",105.0,4.0,3.0,507.0,2.0,560000.0,2.0,apartment
"Rua dos Tororós, 2394 - Lagoa Nova, Natal - RN",57.0,2.0,2.0,,2.0,240000.0,1.0,apartment
"Rodovia BR-101 - Manguinhos, Bayeux - PB",420.0,,,,,,,other
"Rua Sachet, 325 - Ribeira, Natal - RN",358.0,5.0,4.0,2800.0,5.0,2500000.0,4.0,apartment
"Avenida Engenheiro Roberto Freire, 4848 - Ponta Negra, Natal - RN",60.0,2.0,2.0,,1.0,238000.0,1.0,apartment
"Avenida Engenheiro Roberto Freire - Ponta Negra, Natal - RN",60.0,,2.0,1.0,1.0,238000.0,1.0,other
"Rua Sebastião Barreto, 29 - Neópolis, Natal - RN",57.0,2.0,2.0,360.0,1.0,240000.0,1.0,apartment
"Rua Maranata, 1985 - Planalto, Natal - RN",85.0,1.0,3.0,,1.0,170000.0,1.0,house
"Avenida Nilo Peçanha - Petrópolis, Natal - RN",164.0,,4.0,800.0,2.0,485000.0,1.0,apartment
"Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN",52.0,1.0,2.0,270.0,1.0,145000.0,,apartment
"Rua Rui Tavares da Costa - Altiplano Cabo Branco, João Pessoa - PB",,2.0,3.0,,1.0,,,other
"Avenida dos Caiapós, 2885 - Pitimbu, Natal - RN",223.0,4.0,4.0,500.0,,790000.0,4.0,house
"Rua dos Tororós - Lagoa Nova, Natal - RN",92.0,1.0,3.0,830.0,1.0,245000.0,2.0,apartment
"Rua Mossoró, 500 - Tirol, Natal - RN",97.0,3.0,3.0,500.0,2.0,480000.0,1.0,apartment
"Avenida das Brancas Dunas, 255 - Candelária, Natal - RN",87.0,2.0,3.0,415.0,2.0,376900.0,1.0,apartment
"Rua Manoel Machado, 358 - Petrópolis, Natal - RN",239.0,6.0,5.0,1800.0,3.0,820000.0,4.0,apartment
"Rua Jaguarari, 4985 - Candelária, Natal - RN",128.0,4.0,3.0,750.0,2.0,480000.0,3.0,apartment
"Rua Estudante Thiago Ozanan Alcântara Benício, 102 - Água Fria, João Pessoa - PB",,2.0,2.0,,1.0,,,other
"Rua Professora Dirce Coutinho, 1890 - Capim Macio, Natal - RN",57.0,2.0,2.0,400.0,2.0,280000.0,1.0,apartment
"Rua das Algas - Ponta Negra, Natal - RN",55.0,1.0,2.0,49620.0,1.0,493000.0,,other
"Rua Feliciano Dias, 245 - Praia do Meio, Natal - RN",75.0,2.0,2.0,400.0,1.0,185000.0,1.0,apartment
"Rua Anísio de Souza, 2600 - Candelária, Natal - RN",143.0,4.0,3.0,1150.0,3.0,680000.0,3.0,apartment
"Travessa Romualdo Galvão, 711 - Lagoa Nova, Natal - RN",500.0,9.0,7.0,,8.0,840000.0,3.0,house
"Rua Trairi, 760 - Petrópolis, Natal - RN",98.0,3.0,3.0,600.0,3.0,449000.0,1.0,apartment
"Rua Ana Espínola Navarro - Ernani Sátiro, João Pessoa - PB",44.0,1.0,,,1.0,,,other
"Rua Professor Bartolomeu Fagundes, 260 - Petrópolis, Natal - RN",52.0,2.0,2.0,620.0,1.0,120000.0,,apartment
"Rua Ministro Raimundo de Brito - Lagoa Nova, Natal - RN",500.0,4.0,4.0,,7.0,2300000.0,2.0,house
"Rua das Garças - Pitimbu, Natal - RN",350.0,,5.0,,5.0,250000.0,1.0,other
"Rua Fabrício Pedroza, 310 - Areia Preta, Natal - RN",240.0,6.0,5.0,2000.0,4.0,1700000.0,4.0,apartment
